step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
3143.0,[1472],[503],[942905.8785962628],[2956219.5746020284],[0.0]
3150.0,[1476],[504],[944519.3720896281],[2961278.2075916147],[0.0]
3157.0,[1480],[505],[947199.0594471454],[2969679.6075048805],[0.0]
3164.0,[1482],[507],[947199.0594471454],[2969679.6075048805],[0.0]
3169.0,[1486],[507],[950808.7655024654],[2980996.8982791216],[0.0]
3176.0,[1489],[509],[952680.0679340622],[2986863.756986204],[0.0]
3181.0,[1490],[511],[952680.0679340622],[2986863.756986204],[0.0]
3188.0,[1494],[511],[953387.954574216],[2989083.1105973856],[0.0]
3193.0,[1496],[512],[956517.3921381213],[2998894.7154898723],[0.0]
3200.0,[1499],[514],[957736.2584138701],[3002716.0597954053],[0.0]
3205.0,[1501],[514],[959509.7505538262],[3008276.331899967],[0.0]
3212.0,[1504],[515],[963288.8117297869],[3020124.6259024683],[0.0]
3217.0,[1507],[515],[963288.8117297869],[3020124.6259024683],[0.0]
3224.0,[1511],[517],[966963.0896884346],[3031644.27562486],[0.0]
3229.0,[1513],[517],[967667.8007475364],[3033853.671930523],[0.0]
3236.0,[1517],[517],[968906.2225717315],[3037736.4248727616],[0.0]
3243.0,[1520],[518],[970299.4369576534],[3042104.388307307],[0.0]
3250.0,[1523],[520],[974196.617415076],[3054323.0252216067],[0.0]
3255.0,[1525],[520],[974196.617415076],[3054323.0252216067],[0.0]
3262.0,[1528],[524],[976098.9267945492],[3060287.179148473],[0.0]
3267.0,[1530],[525],[977313.8203222115],[3064096.173741687],[0.0]
3274.0,[1534],[525],[982028.4231166723],[3078877.5788987945],[0.0]
3281.0,[1538],[526],[982958.9061045111],[3081794.7595798243],[0.0]
3288.0,[1540],[528],[985641.901264239],[3090206.6169851534],[0.0]
3295.0,[1544],[529],[988064.5087609774],[3097801.9876467553],[0.0]
3300.0,[1546],[530],[988064.5087609774],[3097801.9876467553],[0.0]
